"","y","w","age","polviews","income","educ","marital","sex"
"3848",0,1,45,2,12,12,1,2
"3849",0,0,49,3,10,12,1,2
"3850",0,0,19,5,12,11,5,1
"3851",0,1,55,3,12,12,3,2
"3852",0,1,70,4,12,12,1,2
"3853",0,1,57,4,12,12,1,2
"3854",1,0,37,4,12,10,3,1
"3855",0,1,78,5,11,11,1,1
"3856",0,0,53,4,12,12,1,1
"3857",0,1,37,5,12,12,1,1
"3858",1,0,25,5,7,11,5,2
"3859",0,0,21,3,11,13,1,1
"3860",1,0,39,4,12,12,1,2
"3861",0,1,28,4,11,16,5,2
"3862",0,0,31,2,10,15,5,2
"3863",0,0,22,4,10,12,5,2
"3864",0,0,46,2,12,16,2,2
"3866",1,0,70,5,12,12,1,1
"3867",0,1,29,2,10,15,5,1
"3868",1,0,19,4.1220088,12,9,1,2
"3869",1,0,20,3,12,14,5,1
"3870",0,1,43,3,10,12,3,2
"3871",0,1,32,5,10,15,1,2
"3872",0,0,26,2,12,14,5,1
"3873",1,0,29,5,12,14,3,1
"3874",0,1,41,4,10,12,3,1
"3875",0,0,29,5,9,12,1,1
"3876",0,0,22,2,8,12,5,2
"3877",0,1,32,3,12,12,1,2
"3878",1,1,28,4,11,16,5,1
"3879",0,1,44,2,12,11,1,2
"3880",0,0,38,4,10,9,3,2
"3881",0,1,40,4,11,12,1,2
"3882",0,1,31,4,12,12,1,1
"3883",0,1,71,6,10,12,1,2
"3884",0,1,34,2,12,16,1,2
"3885",0,1,44,5,12,16,1,2
"3886",1,0,43,2,10,14,1,2
"3887",0,0,83,5,9,8,1,1
"3888",1,0,49,3,9,11,1,1
"3889",0,1,66,5,12,16,1,1
"3890",0,1,28,4,12,12,5,1
"3892",0,1,82,6,6,10,1,1
"3893",0,1,44,1,7,11,4,2
"3894",1,0,30,5,8,11,5,2
"3895",0,1,49,4,12,11,1,2
"3896",0,1,21,4,9,12,5,1
"3897",0,1,36,2,9,12,1,2
"3899",0,0,19,4,2,12,5,1
"3900",0,0,51,6,12,10,1,2
"3901",0,0,89,6,5,8,2,2
"3902",0,1,83,4,2,8,2,2
"3903",0,1,61,5,12,12,1,1
"3904",1,0,52,6,12,18,3,1
"3905",0,0,37,6,12,12,1,1
"3906",1,0,36,4,12,14,1,2
"3907",0,0,31,4,11,9,1,2
"3908",0,0,43,4,12,12,1,1
"3909",1,0,68,4,7,8,2,2
"3910",0,1,30,6,10,12,1,2
"3911",0,0,37,4,9,12,1,2
"3912",0,0,59,5,9,10,2,2
"3913",0,1,21,4,4,14,5,2
"3914",1,0,27,5,12,16,1,2
"3915",0,1,75,4,7,9,2,2
"3916",0,1,55,4,9,10,1,2
"3918",0,1,23,2,12,13,5,2
"3919",0,1,38,4,10,12,3,2
"3920",0,0,31,6,12,12,1,1
"3921",0,1,40,3,12,12,1,1
"3922",1,1,71,6,12,13,3,2
"3923",0,0,58,5,12,19,3,1
"3924",0,1,72,4,9,11,2,2
"3925",0,1,38,4,11,13,3,2
"3926",1,0,40,5,12,12,1,1
"3927",0,1,22,4,12,15,5,2
"3928",0,0,63,7,1,9,1,2
"3929",1,0,36,6,12,16,1,2
"3931",0,0,42,6,12,12,1,2
"3932",0,1,22,4,11,12,1,2
"3933",0,1,46,5,12,16,5,2
"3934",0,0,55,3,7,13,3,2
"3935",0,0,25,2,9,16,5,2
"3936",0,1,28,4,12,17,5,1
"3937",1,0,31,4,12,12,3,2
"3938",0,1,26,5,12,12,4,2
"3939",0,0,30,4,11,17,5,2
"3941",1,0,33,5,12,15,1,2
"3942",0,1,49,3,11,12,3,2
"3944",0,1,58,2,11,13,3,2
"3945",0,0,78,4,10,15,2,2
"3946",0,1,31,3,12,20,5,1
"3947",0,1,23,4,10,15,1,2
"3948",0,1,67,5,12,12,2,2
"3949",1,0,35,2,11,13,5,1
"3950",0,1,27,4,8,10,5,2
"3951",1,0,36,5,12,15,4,1
"3952",0,1,26,4.1220088,10,16,5,1
"3953",0,1,55,2,12,12,4,1
"3954",0,1,36,4,12,16,1,1
"3955",0,1,36,3,12,12,1,2
"3956",0,1,20,3,2,12,5,1
"3957",0,1,35,2,5,12,3,2
"3958",1,0,23,5,12,14,5,1
"3959",0,1,64,4,11,12,1,1
"3960",0,1,61,4,11,12,1,2
"3961",1,0,35,3,12,12,1,2
"3962",1,0,43,5,11,16,1,1
"3963",0,1,48,3,12,18,1,1
"3964",0,0,44,1,12,12,1,1
"3965",0,0,54,4,12,12,3,1
"3966",0,0,32,4,11,16,1,1
"3967",0,1,25,4,9,15,5,1
"3968",0,1,38,7,12,16,1,2
"3969",0,0,66,4,7,11,4,2
"3970",0,0,35,5,11,13,1,1
"3971",0,0,62,4,9,12,2,2
"3972",1,0,64,6,9,13,1,1
"3973",1,1,27,6,10,12,1,1
"3974",1,0,38,6,12,15,1,2
"3975",0,0,68,7,2,5,2,2
"3976",0,0,29,5,9,18,5,1
"3978",0,1,88,4,3,3,1,1
"3979",0,1,58,4,12,17,1,1
"3981",0,0,43,4,12,14,1,1
"3982",0,1,59,5,9,12,2,2
"3983",0,0,39,3,12,16,1,2
"3984",0,0,45,6,12,16,1,2
"3985",0,1,42,3,12,20,1,1
"3986",0,0,34,4,9,12,4,2
"3987",0,1,67,4,4,5,3,2
"3988",0,1,20,4,2,9,1,2
"3989",0,1,34,4,9,13,1,1
"3990",0,1,39,4,2,11,5,2
"3991",0,1,28,4.1220088,10,14,1,2
"3992",0,1,68,5,7,12,1,1
"3993",0,1,58,4,10,10,1,2
"3994",0,1,56,6,12,13,1,1
"3995",0,1,51,4.1220088,7,8,3,2
"3996",0,0,29,3,4,14,3,2
"3997",0,0,64,4,4,6,2,2
"3998",0,0,23,2,6,12,5,2
"4001",1,0,51,6,12,14,1,2
"4002",0,1,47,5,12,16,1,1
"4004",0,1,34,5,12,12,1,2
"4005",0,0,63,1,1,5,1,2
"4006",0,0,83,4,12,9,1,1
"4007",0,1,22,4,12,12,1,1
"4008",0,1,65,5,11,11,1,2
"4009",0,1,69,4,9,9,1,1
"4010",1,0,65,4,12,16,1,1
"4011",0,1,60,6,12,20,1,1
"4012",1,0,38,6,12,17,1,1
"4013",0,0,69,5,11,13,1,2
"4014",0,1,55,5,12,16,1,1
"4015",1,0,46,6,12,12,1,2
"4016",0,1,20,5,11,11,5,1
"4017",0,1,22,4,10,13,1,2
"4018",1,0,22,4,9,11,1,2
"4019",0,1,54,7,8,6,1,1
"4020",1,0,60,4,7,10,3,2
"4021",1,0,56,5,12,8,1,1
"4022",0,0,33,3,3,11,5,2
"4023",0,1,53,2,10,10,3,1
"4024",0,1,20,5,7,10,5,2
"4025",1,0,38,2,12,17,3,2
"4026",0,1,31,6,12,19,1,2
"4027",1,0,62,6,12,8,1,1
"4028",0,0,59,5,12,12,1,2
"4029",1,0,76,2,6,7,2,2
"4030",0,1,33,6,12,10,1,2
"4031",0,1,47,4,5,11,3,2
"4032",0,1,69,6,10,11,1,2
"4033",0,1,85,4,8,12,2,2
"4035",1,0,25,4,10,17,1,2
"4036",0,0,71,5,9,14,3,2
"4037",1,0,26,3,9,12,5,2
"4038",1,0,74,4,7,11,2,2
"4039",1,0,45,6,10,14,3,1
"4041",0,0,75,5,5,12,3,2
"4043",0,1,71,4,9,12,2,2
"4044",0,1,80,4,4,12,2,2
"4045",0,1,27,2,12,14,5,1
"4046",0,1,42,5,12,16,3,2
"4047",0,1,67,2,11,16,3,1
"4048",1,0,89,4,12,7,1,1
"4049",0,0,51,4,12,10,1,1
"4050",0,1,60,4,12,4,1,1
"4051",0,0,44,2,12,15,1,2
"4053",1,0,60,6,12,16,1,1
"4054",0,1,34,4,12,12,1,2
"4055",0,1,50,5,12,16,1,1
"4056",0,0,20,4,4,13,1,1
"4057",1,1,59,4,12,15,2,1
"4058",0,0,79,4,8,9,2,2
"4059",1,0,87,4,9,15,2,2
"4061",0,1,69,4,10,8,1,2
"4062",0,1,78,6,9,13,1,1
"4063",0,1,70,5,12,9,1,1
"4064",0,0,27,4,9,9,5,1
"4065",0,0,26,4,12,14,1,2
"4066",0,1,42,4,7,10,2,1
"4068",0,0,26,4,12,16,1,2
"4069",0,0,73,4,11,11,1,1
"4070",0,1,60,3,11,10,1,2
"4071",0,0,60,4,12,13,1,1
"4072",0,1,61,4,10,12,1,2
"4073",0,0,64,6,11,12,1,1
"4074",1,0,66,4,12,13,1,2
"4075",0,0,69,6,9,12,1,2
"4077",0,0,65,5,9,12,1,1
"4078",0,1,50,6,11,12,1,2
"4079",1,0,65,4,11,14,1,1
"4080",0,1,69,4,10,12,1,1
"4081",0,1,58,6,9,12,1,2
"4082",0,1,71,5,12,12,1,1
"4084",0,1,24,1,8,10,1,1
"4085",0,0,42,5,5,11,3,1
"4086",0,1,50,6,12,16,1,2
"4087",0,1,45,5,12,12,1,2
"4088",0,0,69,5,12,12,2,2
"4089",1,0,45,6,12,11,1,1
"4090",0,1,45,4,12,14,1,2
"4091",1,0,63,4,8,10,1,1
"4092",1,0,35,2,6,12,1,1
"4093",0,1,41,6,12,15,1,1
"4094",1,0,43,5,12,14,1,1
"4095",1,0,21,6,1,11,1,2
"4096",1,0,28,3,9,10,3,2
"4097",0,1,30,5,9,11,3,2
"4098",0,0,38,4,11,13,1,2
"4099",0,0,28,4,4,11,4,2
"4100",0,0,20,4,9,12,5,2
"4101",1,0,42,3,11,10,1,1
"4102",0,1,25,3,9,10,1,1
"4104",1,0,33,3,12,14,1,1
"4105",0,1,64,5,4,4,1,1
"4106",0,1,35,2,9,12,4,2
"4107",0,1,42,4,2,7,2,2
"4108",1,1,44,6,11,13,3,2
"4109",0,1,42,2,11,12,3,1
"4110",0,1,34,3,12,16,1,1
"4111",0,1,55,5,12,12,1,1
"4112",0,1,60,2,9,9,2,2
"4113",0,1,47,3,6,8,1,1
"4114",1,1,64,6,12,15,1,2
"4115",1,0,20,3,9,13,5,2
"4117",0,1,26,3,9,13,3,1
"4118",0,0,32,6,9,10,3,1
"4119",0,1,28,4,4,12,5,1
"4120",1,0,44,4,8,7,1,1
"4121",0,1,21,7,7,11,5,1
"4122",0,1,23,4,3,9,5,1
"4123",1,0,39,5,11,14,3,1
"4124",0,1,82,4.1220088,4,8,2,1
"4128",0,1,36,4,12,10,1,1
"4129",0,0,31,2,11,12,4,1
"4131",0,0,53,5,12,12,1,1
"4132",0,1,44,6,8,14,3,2
"4133",0,1,56,1,9,9,1,2
"4135",0,0,75,6,4,7,2,2
"4136",0,0,37,4,12,14,1,2
"4137",0,0,25,4,9,11,1,1
"4138",0,1,70,4,9,12,1,2
"4139",0,1,37,4,9,12,3,2
"4140",1,0,28,3,10,14,1,1
"4141",0,1,41,4,12,12,1,1
"4142",0,0,46,5,12,16,1,1
"4143",1,0,64,6,12,12,1,1
"4144",1,1,43,4,10,14,1,1
"4145",0,0,75,4,9,7,1,2
"4146",0,1,72,4,10,7,1,1
"4148",0,1,60,2,12,16,1,2
"4149",0,1,35,3,12,20,1,2
"4150",0,0,56,7,7,10,2,2
"4151",0,0,22,2,4,15,5,1
"4152",1,0,41,2,2,14,5,2
"4153",0,1,49,4,6,10,3,2
"4154",0,0,31,6,6,12,1,2
"4155",0,1,64,4,5,12,2,2
"4156",0,0,39,5,12,13,1,2
"4157",0,0,78,6,6,9,2,2
"4158",0,1,63,2,9,8,1,1
"4160",0,0,78,3,10,16,1,1
"4161",1,1,68,2,10,7,5,1
"4162",0,0,68,4,11,9,2,2
"4163",0,0,79,6,9,8,1,1
"4164",0,1,75,4,9,9,1,2
"4165",0,0,26,4,12,19,1,2
"4166",0,0,61,6,9,8,1,2
"4167",1,0,56,4,11,12,1,1
"4168",0,1,61,2,7,12,1,1
"4169",0,1,31,4,5,11,1,1
"4170",1,0,33,4,12,12,1,2
"4171",1,1,69,6,4,8,2,2
"4172",0,0,69,6,9,10,1,2
"4174",1,0,51,7,10,12,1,1
"4175",0,0,24,3,4,11,5,2
"4176",0,1,32,4,4,7,3,2
"4178",0,1,32,4,10,10,1,2
"4179",1,0,28,4.1220088,9,11,3,2
"4180",0,1,40,6,10,14,3,2
"4181",0,1,42,2,12,14,1,1
"4182",1,0,55,4,11,14,3,2
"4183",1,0,27,5,12,12,1,1
"4184",0,1,27,6,8,11,1,2
"4185",0,1,61,5,4,9,1,2
"4186",0,1,52,1,12,12,1,2
"4187",1,1,42,2,10,16,3,2
"4188",0,0,19,1,8,12,5,2
"4189",0,0,28,4,9,16,5,2
"4190",0,1,62,5,4,10,3,2
"4191",0,0,74,4,5,7,2,2
"4192",1,0,25,3,9,14,5,2
"4193",1,0,61,6,12,9,1,2
"4194",0,0,58,2,12,12,1,1
"4195",0,1,62,6,12,20,1,1
"4196",0,1,22,1,12,13,5,1
"4197",0,0,45,5,12,18,3,1
"4198",0,0,31,3,12,20,5,1
"4199",0,1,30,5,12,16,1,1
"4200",0,1,63,4,6,5,3,1
"4201",0,1,68,4,9,8,2,2
"4202",0,0,68,2,12,19,1,1
"4203",0,1,32,3,12,16,3,2
"4204",0,0,71,4,9,11,2,2
"4205",0,1,34,4,8,18,3,2
"4206",0,1,34,4,9,12,3,2
"4207",0,0,39,5,12,14,1,1
"4208",1,0,40,4,12,16,1,2
"4209",0,1,69,3,12,12,1,2
"4210",0,0,45,4,12,12,1,1
"4211",0,1,35,5,12,16,1,2
"4212",0,1,62,5,12,18,1,2
"4213",0,1,41,1,12,16,1,1
"4214",0,0,49,5,12,15,2,2
"4215",1,1,56,6,12,12,1,2
"4216",0,0,35,3,12,14,1,1
"4217",0,0,45,6,12,12,3,1
"4218",0,1,41,7,12,16,1,1
"4219",0,1,68,4,12,10,1,1
"4221",0,1,45,4,12,13,1,1
"4222",1,0,58,5,12,12,1,2
"4224",0,0,51,4,12,12,1,1
"4225",1,0,76,4,8,8,1,1
"4226",0,1,22,4,10,11,1,2
"4227",0,1,36,1,9,13,4,2
"4228",1,1,68,6,5,6,3,1
"4229",1,0,66,4,10,11,2,2
"4230",0,1,74,4,12,14,1,1
"4231",0,1,72,4,7,8,1,1
"4232",0,0,60,4.1220088,12,9,1,1
"4233",0,1,65,4,9,11,3,2
"4234",1,1,37,4,9,14,3,2
"4235",0,0,42,5,12,12,3,1
"4236",0,1,22,4,7,11,5,1
"4237",0,1,44,3,3,11,3,2
"4238",0,0,28,2,10,10,1,1
"4239",0,1,33,3,9,13,1,2
"4240",0,0,47,2,9,14,3,2
"4241",1,0,30,4,12,14,3,2
"4242",0,0,22,6,4,13,5,2
"4243",0,0,41,4,10,12,3,2
"4244",0,0,30,4,11,14,1,1
"4245",0,0,24,2,12,16,5,2
"4246",1,0,48,5,12,16,1,1
"4247",0,1,49,4.1220088,12,12,1,2
"4248",0,1,41,2,12,12,1,2
"4249",0,1,28,4,12,14,1,2
"4250",0,0,55,2,9,14,1,1
"4251",0,0,40,4,10,14,5,2
"4252",0,1,58,6,6,9,1,1
"4253",0,1,52,2,11,12,1,1
"4254",0,1,38,2,12,16,5,1
"4255",0,1,33,6,12,16,1,1
"4256",0,1,37,4,12,11,1,2
"4257",1,0,36,6,12,14,3,2
"4259",0,0,36,6,5,12,3,2
"4260",0,0,27,4,12,14,5,2
"4261",0,0,25,6,10,13,5,2
"4262",0,0,61,6,4,12,3,2
"4263",0,1,64,4,8,8,3,2
"4264",0,0,29,4,11,15,1,2
"4265",1,0,31,4,10,14,5,2
"4266",0,0,43,6,3,14,3,2
"4267",0,1,57,2,12,13,3,2
"4268",1,1,60,5,10,12,1,1
"4269",0,0,37,5,11,12,1,2
"4270",0,1,63,4,5,12,3,2
"4271",0,0,50,4,12,12,1,1
"4272",0,1,44,5,12,12,3,2
"4273",0,0,60,4,12,16,5,1
"4275",0,0,65,3,12,12,1,2
"4276",0,1,45,5,12,14,1,2
"4277",0,1,25,6,9,12,1,1
"4278",0,1,44,7,11,12,5,1
"4279",0,1,33,4.1220088,2,12,5,2
"4280",0,0,38,4,9,12,1,2
"4281",0,0,63,6,12,17,1,1
"4282",0,1,76,6,12,17,1,1
"4283",0,0,61,3,12,18,1,2
"4284",1,0,66,7,12,17,1,1
"4285",0,1,18,2,12,11,5,1
"4286",0,1,38,6,12,20,1,1
"4287",1,0,73,5,12,16,2,1
"4288",0,0,63,2,12,20,2,2
"4289",0,0,19,2,12,12,5,1
"4290",0,1,77,4,12,20,1,1
"4291",0,1,41,4,12,14,3,2
"4292",0,1,30,5,12,14,1,1
"4293",0,1,41,2,12,14,1,1
"4294",1,0,69,4,12,19,1,2
"4295",0,1,25,3,11,14,5,1
"4296",0,1,76,4,11,12,1,1
"4298",0,0,82,4,12,12,2,2
"4300",0,1,72,4.1220088,6,14,2,2
"4301",0,0,89,3,4,8,2,2
"4302",0,0,80,4,12,7,2,1
"4305",1,0,66,4,12,14,1,1
"4306",0,1,29,2,11,12,1,2
"4307",0,1,38,2,12,12,1,1
"4308",1,0,59,4,10,12,3,2
"4309",0,0,70,5,12,16,2,2
"4310",0,1,69,3,12,13,2,2
"4311",1,0,27,2,12,12,1,2
"4312",0,0,22,3,12,12,5,1
"4313",0,1,28,4,12,15,5,1
"4314",0,1,49,4,7,15,3,1
"4315",1,1,36,4,12,16,5,1
"4316",0,1,28,4,9,11,1,2
"4317",0,1,41,4,12,13,1,2
"4318",0,1,70,6,10,12,1,1
"4319",1,1,32,3,12,16,1,1
"4320",1,1,38,7,12,13,1,2
"4321",1,0,54,6,12,14,1,1
"4323",0,0,49,5,12,11,4,2
"4324",0,1,20,6,12,12,5,1
"4325",0,1,41,2,12,12,1,2
"4326",0,1,37,3,10,12,3,2
"4327",0,1,40,1,12,20,1,1
"4328",1,1,33,4,12,12,5,2
"4329",0,0,57,4,12,11,1,1
"4330",0,1,78,6,10,12,2,2
"4331",0,0,51,4,12,20,1,1
"4332",0,1,78,6,11,14,5,1
"4334",1,0,34,4,12,12,5,2
"4335",0,1,81,5,9,12,3,1
"4336",1,0,31,4,12,12,3,1
"4337",0,0,79,4,5,9,2,2
"4338",1,0,30,4,12,14,1,1
"4339",0,1,77,5,7,11,2,2
"4340",0,1,51,3,12,16,1,1
"4341",1,0,34,3,11,10,1,2
"4342",0,0,56,3,12,16,1,1
"4343",1,0,34,4,12,14,1,2
"4344",0,1,67,4,7,11,2,1
"4345",0,1,24,4,9,12,5,2
"4346",0,1,45,7,10,15,1,1
"4347",0,0,19,4,7,12,5,2
"4348",0,0,30,5,12,13,1,1
"4349",0,0,52,5,12,12,1,2
"4351",1,1,38,5,12,14,1,1
"4352",0,0,81,4,11,12,1,2
"4353",1,0,29,3,11,12,4,1
"4354",1,0,65,6,9,8,1,2
"4355",0,1,50,4,11,11,1,2
"4356",0,1,53,4,7,8,3,2
"4357",0,1,19,2,12,11,5,1
"4358",0,1,71,4,9,8,2,2
"4360",1,0,47,5,11,9,5,1
"4361",1,0,35,5,11,15,1,1
"4362",1,1,35,6,11,12,1,2
"4364",0,1,23,4,12,15,1,2
"4365",0,1,20,5,12,13,5,2
"4366",0,1,68,5,10,12,1,2
"4367",1,1,46,6,11,14,3,1
"4368",1,1,32,6,12,13,1,2
"4370",0,0,26,6,11,11,1,1
"4371",0,0,34,2,12,16,1,1
"4372",0,1,59,3,9,12,3,1
"4373",0,0,30,5,12,12,1,2
"4374",1,1,44,5,12,13,1,1
"4375",1,1,31,6,12,16,1,1
"4376",1,0,38,4,12,14,1,1
"4377",0,1,40,5,12,16,1,2
"4378",1,0,43,6,12,12,1,2
"4379",1,0,31,6,12,16,1,2
"4380",0,0,29,5,12,16,1,2
"4381",0,1,51,4,12,14,1,2
"4382",0,1,27,5,12,16,1,2
"4383",1,1,36,6,12,16,1,1
"4384",0,1,39,5,12,14,1,1
"4385",0,0,30,5,12,12,1,2
"4386",0,1,23,3,12,14,5,1
"4387",0,1,74,5,12,12,2,2
"4388",1,0,32,5,12,12,1,1
"4389",0,0,71,2,10,12,1,1
"4391",0,1,64,6,12,12,1,2
"4392",0,1,26,3,12,12,1,2
"4393",0,1,22,3,12,12,5,2
"4394",1,1,35,6,12,16,1,2
"4395",0,1,37,5,9,13,1,1
"4396",1,0,55,3,10,11,1,2
"4397",1,0,62,6,9,12,2,2
"4399",0,0,83,5,8,9,1,2
"4400",0,0,39,4,8,16,1,1
"4401",1,0,21,6,12,14,5,2
"4402",0,1,27,3,10,17,1,1
"4403",0,0,29,4,7,16,5,2
"4404",0,1,25,5,12,16,1,2
"4405",0,1,48,6,12,12,1,2
"4406",0,1,72,5,8,12,1,2
"4407",0,1,26,6,6,16,1,1
"4408",1,0,28,6,10,12,1,1
"4409",0,0,85,2,11,16,1,2
"4410",0,0,37,4,12,12,1,2
"4412",1,0,53,3,9,12,5,1
"4413",0,0,24,3,1,17,5,2
"4414",0,1,70,4,12,13,1,2
"4415",0,1,34,5,12,16,1,1
"4416",0,1,49,4,12,12,1,1
"4417",0,1,63,2,9,12,1,2
"4418",1,0,54,4.1220088,10,12,1,2
"4419",1,0,40,2,12,16,1,2
"4420",0,1,41,4,12,12,1,2
"4421",0,1,42,5,11,12,1,1
"4422",0,1,33,5,12,14,1,1
"4423",0,0,28,4,12,13,5,2
"4424",0,1,37,4,12,13,3,2
"4425",1,0,37,4,12,14,1,2
"4426",1,0,41,4,11,13,1,1
"4427",1,0,28,3,1,18,1,2
"4428",1,0,26,4,12,12,1,2
"4429",0,1,29,3,12,12,1,1
"4430",1,0,32,4,12,16,1,1
"4431",0,1,22,2,9,11,5,2
"4432",0,0,57,3,5,6,1,2
"4433",0,0,66,4,12,12,1,2
"4434",1,0,68,4,4,11,4,2
"4435",1,0,62,4,6,13,2,2
"4436",0,1,62,4,9,12,1,2
"4437",0,0,20,2,12,13,5,2
"4438",0,1,63,4,9,12,1,2
"4439",0,1,30,2,10,10,5,1
"4440",0,0,20,3,12,11,5,1
"4443",0,0,63,2,6,9,2,1
"4444",0,1,44,4,12,10,1,1
"4445",0,1,81,4,6,9,2,2
"4446",1,1,71,4,9,10,2,2
"4447",0,0,67,4,12,12,2,2
"4448",0,1,67,4,6,12,2,2
"4449",0,1,22,4,10,12,5,2
"4450",0,0,74,5,9,8,5,1
"4451",1,0,24,4,12,12,1,1
"4452",0,1,28,3,10,12,1,2
"4453",1,0,75,6,8,10,1,2
"4454",0,1,20,4,8,12,1,2
"4455",1,1,69,6,11,12,1,1
"4457",0,1,41,5,12,14,1,2
"4458",0,1,32,2,12,18,1,2
"4459",0,0,28,4,10,12,1,2
"4461",0,0,24,5,7,15,1,2
"4462",0,0,40,1,9,13,2,2
"4463",0,1,70,4,12,9,1,2
"4464",0,1,46,5,12,20,1,1
"4467",0,1,63,4.1220088,8,4,1,2
"4468",0,1,34,6,10,12,1,1
"4470",0,1,32,3,10,12,1,1
"4471",1,0,27,5,11,15,1,2
"4472",0,0,42,3,12,12,1,1
"4474",1,0,75,4,12,12,1,2
"4475",0,0,30,5,12,16,1,2
"4476",0,0,29,5,12,12,1,1
"4477",1,1,27,4,11,13,5,1
"4478",1,0,40,6,12,12,1,1
"4479",0,0,44,3,10,13,1,1
"4481",1,0,50,4,12,16,1,1
"4482",0,0,83,4,11,12,1,1
"4483",1,0,53,5,12,18,1,1
"4484",1,0,73,6,9,8,1,2
"4485",1,0,37,5,9,12,3,2
"4486",1,0,73,6,11,6,2,2
"4487",0,1,30,4,12,17,5,2
"4488",0,1,64,3,12,18,1,1
"4489",0,1,36,5,11,13,1,1
"4492",0,0,25,4.1220088,9,12,1,2
"4493",0,1,75,6,4,8,5,2
"4494",0,0,76,4.1220088,8,8,1,2
"4495",0,1,37,4,10,13,3,2
"4496",0,1,72,5,12,16,1,2
"4497",0,1,76,4.1220088,9,12,1,2
"4500",0,1,80,4,3,12,2,2
"4501",0,1,78,4,8,8,2,2
"4502",0,1,89,6,11,8,1,2
"4503",0,1,66,4.1220088,11,8,1,2
"4505",0,0,36,4,12,14,1,2
"4506",1,0,71,4,7,12,1,1
"4507",0,1,37,6,12,12,1,2
"4508",1,0,37,5,12,15,1,1
"4509",0,1,68,4,11,12,1,2
"4510",0,1,33,4,12,14,1,1
"4511",0,1,42,2,9,14,3,1
"4512",0,1,76,1,4,7,2,1
"4513",0,1,62,4,9,12,1,2
"4514",0,0,34,4,12,9,4,2
"4515",1,0,20,4,8,12,5,1
"4517",0,0,23,4,6,11,1,2
"4518",0,1,62,5,9,16,2,2
"4519",0,1,63,4,5,12,3,1
"4521",0,1,38,5,10,14,1,2
"4523",0,1,28,6,7,17,5,1
"4524",1,0,38,4,12,16,5,1
"4525",1,0,37,6,6,15,3,2
"4526",1,0,51,4,11,12,1,2
"4527",1,0,84,4,9,8,2,2
"4528",1,0,76,4,9,10,1,1
"4529",0,0,71,4,7,8,2,2
"4530",0,1,70,4,8,12,1,2
"4531",1,0,38,3,9,15,5,1
"4532",0,1,78,4,4,13,5,1
"4534",0,0,65,5,12,14,1,1
"4535",0,0,29,3,12,12,1,2
"4536",0,1,29,2,2,12,3,1
"4537",1,0,46,1,10,12,3,2
"4538",0,1,27,4,9,16,5,2
"4539",0,1,66,4,12,12,1,2
"4540",1,0,36,3,11,13,1,1
"4541",1,0,28,4,12,16,5,2
"4542",0,1,62,5,12,14,1,2
"4543",1,1,74,4,10,12,1,1
"4544",0,1,87,6,4,8,2,2
"4545",0,1,25,4,9,12,5,2
"4546",1,0,79,5,5,8,2,2
"4547",0,0,69,2,9,8,1,2
"4548",1,0,83,4,11,8,1,1
"4549",0,0,40,1,11,12,3,1
"4550",0,1,33,3,9,9,3,1
"4551",0,0,75,4,12,8,1,2
"4552",0,1,68,4,8,6,1,1
"4553",0,1,38,2,9,12,3,1
"4554",0,1,54,6,12,12,1,2
"4555",1,1,75,4.1220088,7,5,2,2
"4556",1,0,23,2,10,10,1,1
"4557",1,0,30,4,9,12,1,2
"4558",1,1,44,4.1220088,12,12,1,1
"4559",0,0,31,4.1220088,7,12,3,2
"4560",0,1,68,4.1220088,3,3,1,2
"4561",0,0,51,5,5,12,5,2
"4562",1,0,72,4.1220088,5,12,5,1
"4563",1,0,62,4.1220088,5,10,2,2
"4564",0,1,19,4.1220088,9,11,5,1
"4565",0,1,59,4,6,9,3,1
"4566",0,1,50,4.1220088,8,5,1,1
"4567",0,1,23,6,12,11,1,1
"4568",0,0,30,5,11,12,3,1
"4569",0,1,35,4,12,17,1,2
"4570",0,1,70,6,12,15,2,2
"4571",0,1,49,6,12,13,4,1
"4572",0,1,25,4,4,15,5,1
"4573",0,0,60,5,12,20,5,2
"4574",0,1,49,5,12,16,3,2
"4576",0,1,65,4,10,16,1,2
"4577",0,1,31,4,10,12,1,2
"4578",1,0,40,6,12,12,1,2
"4579",1,0,70,7,10,11,1,1
"4580",0,1,28,5,9,10,1,1
"4581",0,1,56,6,12,11,1,1
"4583",0,1,61,6,12,14,1,1
"4584",1,0,27,2,2,12,4,2
"4585",0,1,30,3,4,10,5,1
"4586",0,1,38,4.1220088,2,12,5,2
"4587",0,1,27,4,2,14,5,2
"4588",0,1,49,5,5,9,4,2
"4589",0,0,28,6,5,10,5,1
"4590",0,1,31,4.1220088,2,14,4,2
"4591",0,0,34,4,12,12,5,1
"4592",0,1,68,3,7,11,2,2
"4593",1,0,35,4,12,19,5,2
"4594",0,1,32,5,10,9,1,1
"4595",0,0,39,6,8,7,1,1
"4596",1,0,41,4,12,12,1,2
"4597",0,0,25,5,9,12,1,1
"4598",0,1,51,7,12,12,1,1
"4599",0,1,73,4.1220088,8,12,1,2
"4600",1,0,70,4,12,13,1,1
"4601",0,1,35,6,8,8,4,1
"4602",0,0,45,5,8,12,3,2
"4603",0,0,87,6,6,8,5,2
"4604",0,1,89,4,9,8,2,1
"4605",0,1,68,4,9,8,1,1
"4606",0,1,21,4,11,13,1,2
"4607",0,1,79,4,11,14,2,2
"4608",0,1,43,4,12,12,1,2
